timestamp,city,temperature,description
2026-05-13T09:11:45.256Z,London,12.12,broken clouds
2026-05-15T08:47:49.580Z,Tokyo,22.1,few clouds
2026-05-15T08:48:09.761Z,London,10.49,scattered clouds
2026-05-15T08:48:12.954Z,London,10.49,scattered clouds
2026-05-15T08:48:36.000Z,London,10.49,scattered clouds
2026-05-15T08:50:22.783Z,London,10.49,scattered clouds
2026-05-15T09:15:22.731Z,London,10.03,scattered clouds
2026-05-15T09:27:06.112Z,London,10.12,scattered clouds
2026-05-15T09:29:44.449Z,London,10.11,scattered clouds
2026-05-15T11:45:48.256Z,London,11.99,broken clouds
2026-05-15T13:21:22.876Z,London,13.2,scattered clouds
2026-05-15T15:53:25.428Z,London,14.04,overcast clouds
2026-05-15T17:17:51.878Z,London,14.22,overcast clouds
2026-05-15T19:10:56.439Z,London,12.85,overcast clouds
2026-05-15T20:46:04.250Z,London,10.63,overcast clouds
2026-05-15T22:41:21.447Z,London,8.43,overcast clouds
2026-05-16T01:28:25.133Z,London,6.53,clear sky
2026-05-16T05:15:24.278Z,London,4.99,clear sky
2026-05-16T07:44:13.766Z,London,9.31,broken clouds
2026-05-16T09:17:20.295Z,London,12.71,broken clouds
2026-05-16T10:51:58.094Z,London,13.49,broken clouds
2026-05-16T12:50:40.280Z,London,14.77,broken clouds
2026-05-16T14:45:24.593Z,London,14.39,overcast clouds
2026-05-16T16:41:06.641Z,London,13.61,broken clouds
2026-05-16T18:43:51.263Z,London,12.06,light rain
2026-05-16T20:35:17.811Z,London,11.58,overcast clouds
2026-05-16T22:33:08.202Z,London,11.36,few clouds
2026-05-17T01:45:06.055Z,London,11.02,light rain
2026-05-17T05:37:00.788Z,London,9.86,overcast clouds
2026-05-17T08:04:14.945Z,London,11.72,few clouds
2026-05-17T10:57:42.695Z,London,14.93,few clouds
2026-05-17T12:46:08.391Z,London,16.59,overcast clouds
2026-05-17T14:47:52.508Z,London,17.22,overcast clouds
2026-05-17T16:41:57.344Z,London,15.71,overcast clouds
2026-05-17T18:46:41.006Z,London,12.5,broken clouds
2026-05-17T20:37:23.776Z,London,11.16,overcast clouds
2026-05-17T22:40:42.807Z,London,9.66,overcast clouds
2026-05-18T01:54:37.280Z,London,8.49,overcast clouds
2026-05-18T06:00:32.521Z,London,9.02,overcast clouds
2026-05-18T11:34:47.618Z,London,13.93,broken clouds
2026-05-18T14:48:12.002Z,London,14.15,broken clouds
2026-05-18T17:50:07.077Z,London,13.55,few clouds
2026-05-18T19:19:19.771Z,London,12.95,overcast clouds
2026-05-18T20:59:23.731Z,London,12.33,broken clouds
2026-05-18T22:44:35.928Z,London,11.83,light rain
2026-05-19T01:54:24.855Z,London,11.07,broken clouds
2026-05-19T05:55:23.563Z,London,11.59,light rain
2026-05-19T08:53:58.458Z,London,13.41,broken clouds
2026-05-19T12:32:22.392Z,London,17.98,broken clouds
2026-05-19T16:42:33.588Z,London,16.6,broken clouds
2026-05-19T19:30:29.550Z,London,15.29,broken clouds
2026-05-19T21:09:02.483Z,London,14.37,broken clouds
2026-05-19T22:54:32.083Z,London,13.52,few clouds
2026-05-20T01:54:02.485Z,London,13.23,few clouds
2026-05-20T05:55:08.161Z,London,13.19,few clouds
2026-05-20T08:48:03.424Z,London,15.8,broken clouds
2026-05-20T12:13:45.039Z,London,18.6,broken clouds
2026-05-20T16:42:18.258Z,London,17.66,broken clouds
2026-05-20T19:57:42.930Z,London,16.65,overcast clouds
2026-05-20T21:47:09.788Z,London,15.29,broken clouds
2026-05-20T23:01:42.812Z,London,14.54,broken clouds
2026-05-21T01:53:03.639Z,London,12.5,broken clouds
2026-05-21T05:58:14.572Z,London,13.63,overcast clouds
2026-05-21T09:31:00.209Z,London,17.38,broken clouds
2026-05-21T12:37:59.810Z,London,21.97,overcast clouds
2026-05-21T16:31:48.880Z,London,23.46,broken clouds
2026-05-21T19:39:52.340Z,London,20.91,broken clouds
2026-05-21T21:19:49.673Z,London,18.61,overcast clouds
2026-05-21T22:56:30.957Z,London,15.7,overcast clouds
2026-05-22T01:54:32.883Z,London,14.45,few clouds
2026-05-22T05:54:27.696Z,London,16.2,clear sky
2026-05-22T08:44:06.260Z,London,23.23,scattered clouds
2026-05-22T12:10:35.573Z,London,26.58,broken clouds
2026-05-22T16:11:53.766Z,London,27.5,overcast clouds
2026-05-22T19:18:52.957Z,London,24.34,few clouds
2026-05-22T21:01:49.158Z,London,20.68,scattered clouds
2026-05-22T22:45:24.837Z,London,20.13,scattered clouds
2026-05-23T01:45:45.505Z,London,19.01,overcast clouds
2026-05-23T05:28:55.662Z,London,18.17,broken clouds
2026-05-23T08:00:11.479Z,London,22.5,broken clouds
2026-05-23T09:53:57.182Z,London,25.33,scattered clouds
2026-05-23T11:01:59.369Z,London,26.52,scattered clouds
2026-05-23T12:51:34.423Z,London,28.49,few clouds
2026-05-23T14:52:26.592Z,London,29.18,scattered clouds
2026-05-23T16:44:21.552Z,London,28.63,broken clouds
2026-05-23T18:49:50.416Z,London,27.57,scattered clouds
2026-05-23T20:37:29.683Z,London,22.66,broken clouds
2026-05-23T22:39:46.975Z,London,18.86,broken clouds
2026-05-24T01:51:46.149Z,London,16.47,few clouds
2026-05-24T05:50:08.963Z,London,16.12,few clouds
2026-05-24T08:11:37.111Z,London,21.22,broken clouds
2026-05-24T11:05:03.839Z,London,27.08,broken clouds
2026-05-24T12:52:17.523Z,London,29.2,scattered clouds
2026-05-24T14:53:34.351Z,London,30.45,few clouds
2026-05-24T16:46:14.391Z,London,28.97,few clouds
2026-05-24T18:55:39.146Z,London,25.63,clear sky
2026-05-24T20:40:27.483Z,London,22.89,clear sky
2026-05-24T22:43:12.419Z,London,21.11,clear sky
2026-05-25T01:58:08.248Z,London,17.89,clear sky
2026-05-25T06:22:42.997Z,London,19.3,clear sky
2026-05-25T11:40:02.724Z,London,31.02,clear sky
2026-05-25T14:26:00.944Z,London,32.27,clear sky
2026-05-25T17:26:21.866Z,London,31.44,clear sky
2026-05-25T19:10:08.500Z,London,29.02,clear sky
2026-05-25T20:55:59.332Z,London,25.12,clear sky
2026-05-25T22:48:55.229Z,London,22.48,clear sky
2026-05-26T01:50:24.690Z,London,19.11,clear sky
2026-05-26T05:55:23.412Z,London,20.22,clear sky
2026-05-26T09:29:50.859Z,London,29.79,clear sky
2026-05-26T17:17:30.386Z,London,33.51,clear sky
2026-05-26T19:50:16.306Z,London,28.62,few clouds
2026-05-26T21:24:17.186Z,London,25.99,few clouds
2026-05-26T22:58:13.985Z,London,24.25,clear sky
2026-05-27T01:58:11.986Z,London,20.78,clear sky
2026-05-27T06:16:02.336Z,London,17.96,clear sky
